review,sentiment
"A total and utter travesty of a movie.'Dark power'is the kind of film even troma would be embarrassed to release.The script,direction,acting and action sequence's are so dire as to be almost painful to watch and one cant help thinking that it's mere 75 minute running time could have been better spent. The above reviewer must be related to the director as that's the only reason i can see for his/her appraisal of this rubbish,some might call it b-movie fun or 'so bad it's good' just to excuse there enjoyment of it,but when the lead actor ( and most experienced cast member) cant deliver his lines convincingly you know you've got a very,very bad movie.Avoid at all costs.",negative
"MAJOR LEAGUE: BACK TO THE MINORS (1998) ½* <br /><br />Starring: Scott Bakula, Eric Bruskotter, Corbin Bernsen, Dennis Haysbert, Jensen Daggett, Written and directed by John Warren 100 minutes Rated PG-13 (for language and some violence) <br /><br />By Blake French: <br /><br />	Believe it or not, in the new John Warren comedy ""MAJOR LEAGUE: BACK TO THE MINORS"" there is one funny scene. It consists of a sequence where an infuriated coach throws a baseball hard into the wall behind him only to have it hit the cement and bounce back and smash him in the face. It's not much, but with the exception of a few one-liners, it's all this film has to offer...enough said. <br /><br />This movie is not only structurally impaired, characteristically undeveloped, predictable and badly written, but also just plain bad. Even non-critical audience members will hate this movie with all that they got. It is so familiar it just isn't funny. <br /><br />How many times does the same movie about sports have to be made? Last years we saw this same material in ""Air Bud: Golden Receiver,"" and as bad as that film was, this is even worse. At least ""Air Bud"" was family oriented. ""Major League Back to the Minors"" is too vulgar for a wholesome family to view together on a Sunday afternoon. It is too childish for adults. So who is this film for? Teenagers? Elderly? People who are so desperate for entertainment they would rent something like this?<br /><br />	The film, like many others like this, has one basic point it tries to make: teamwork conquers all. Yes it does, and what a great moral to try to prove. Too bad we have already seen and excepted it so many times over and over have such little talent and intelligence that their cheerleaders are men in a ballerina costumes. Where the silly announcers form their own ""buddy comedy routine"" muttering one liners to themselves like ""They suck,"" ""This kids fast ball is timed with an hour glass,"" ""This guy dropped out of ball for a while to find something he lost--maybe it was his mind,"" ""Somebody needs a nap,"" and ""ever see a sunset as beautiful as that play."" Where the characters have such little significance to each other that we never know them by name. And where the only heartfelt lecture scene about teamwork is so unknowledgeable that it is almost funny.<br /><br />	""Major League Back to the minors"" is so bad; it stalls its trite ending right in the middle of a good closing sequence. The good baseball team is on a comeback, they are about to win and--the power goes out. I was thinking for a minute that this piece of trash had come to a conclusion, but in reality, its false final scene exists only to add minutes to the running time. The movie basically consists of a series of unrelated sketches that throw in so many putrid jokes it is are not funny. There is another kind-of-funny line of dialogue that has a coach and a player talking to each other about why a long time outfielder is not wanted in that position any longer. The coach's answer: ""You're too old, too slow, and too fat."" The player's reaction is to die for. But that scene certainly does not make this movie noteworthy of you time, and certainly is not worth a cent of your money. <br /><br />So here is another dreadful entrée into this genre of film, another that is doomed with its own script, which is failed before seen, and another which is so familiar it seems like deja vu all over again.<br /><br />",negative
"When I read the summary of the movie, something like what happens when a man gets powers of a God, and how he later learns that having supernatural powers requires giant responsibility and strength, I though that was clever and original concept. Casting was promising too, Carrey, Freeman, Aniston... How can movie with a good idea and good actors, not to mention costs of filming, can be bad? It can. Idea is good, but script and story itself is terrible. Bruce Nolan is, let's be honest, a pretty mediocre journalist, with not exactly great stories (like a story of a giant cookie, what a faux pas, and the Niagara report is complete fiasco!), he's a man with a job he completely DESERVES (he's not a good journalist, he's a comedian), considering his potentials, with a nice home, sugar sweet girlfriend, and OH HORROR!!!! Dog who is not house trained!!! Yes, as soon as Bruce, at the beginning of the movie starts addressing GOd in a ""God, why do you hate me!"" manner, average viewer must think: ""Why, what's wrong with your life, Bruce?"". Bruce is not, and definitely NOT the man with real problems in life. Most the troubles that happen to him are minor and not really worth of all that fuss he makes, and some of them are really only the result of his stupidity. Most people have really big problems, worth of attention, most people are more worth of attention that Bruce, who doesn't seem too human after all, doesn't look even realistic, too goofy and neurotic, but God still addresses to him. Why? Though Morgan Freeman looks nice as a God, I can't help but to ask what is he doing in this particularly bad movie. And what does Bruce do when God gives him his powers? God in this movie could as easily give his powers to a 5 year old kid and there hardly would be any difference. No, wait, a smart kid would probably use his God powers better than Bruce. What does Bruce do? Pulls the moon closer to earth to create romantic atmosphere, parts the red soup, lifts up a pretty woman's dress on the street, answers prayers via e-mail and make all of them come true!!!! No more, Bruce, please! What Bruce did could actually end the world, but in the movie, that doesn't happen, because this is ""nice, family, little movie"" and doesn't make any sense at all!!! Not a hint of sarcasm, of real humor, of wittiness, of some dirty humor at least!!! Nothing. Just Carrey playing silly, which is starting to look pathetic on middle aged actor. Aniston here is understated. She plays pale, undeveloped character of Bruce's girlfriend Grace, and stays completely forgettable in this movie. Nobody in the right mind would believe that this two have any chemistry at all between them. When Grace says prayer for Bruce it sounds not only lame and pathetic, but completely false. These two are not meant to be together. I would give three stars, but I doubt movie deserves a one. Bad script, lame dialogs, lack of real humor, wittiness and any sophistication, as well as undeveloped characters and understated Freeman's and Aniston's roles, total lack of boldness and sarcasm, it all makes movie hardly worth ***. But OK, there were few funny moments, and Freeman is always nice to see in any movie so, lets leave three stars.",negative
"Subject Matter: Cosmology, Quantum Physics and Stephen Hawking<br /><br />Soundtrack: Phillip Glass<br /><br />Have I died and gone to Heaven? <br /><br />You will be enraptured.",positive
"To sat how awful The Shield is, you'd have to write pages and pages, so suffice it to say that it is a monument to bad directing.<br /><br />""When Directors Go Awry"" should have been the title of this production. Indeed, directors are supposed to infuse their work with a sense of visual style and story-telling that propels the story forward.<br /><br />How is constantly shaking the camera and playing with the zoom lens a ""style""? How is it propelling the story forward? Of course there's also the ""editing by random numbers"" nonsense. Apparently it's become hip to just cut randomly.<br /><br />I guess it's too much work to do good editing.<br /><br />Well, that made it too much work for most people to watch The Shield which languished as one of the most over-hyped and unwatched shows of all time.",negative
"This story had a good plot to it about four elderly men that share a deadly secret concerning a young woman that they met 50 years ago. After all this time, the young woman returns to seek revenge on the men. This story occasionally made me nod off during the movie in the middle of tiring elevator music and the ever so consistent thunder storms. But it is well worth the wait in the end when we find out just who the mystery woman is that keeps plaguing the old men in their dreams and interfering in a young man's life. The most of what I liked in this film was the suspense in which the young woman appears to the men just before their deaths. The special effects were something. Every time I heard her call out to them I would think ""Not that face again."" But it was a good movie, I just wish that the pace was not as slow or the acting not as tiresome. And what I also liked about the movie was the flashback of the 20's, very authentic as well as the costumes being original.",negative
"When someone remakes a classic movie, the remake is always unfavorably compared to the original. Also, there's a chance that the remake is so radically different that it is just too unfamiliar to audiences.<br /><br />Well, the 1973 TV version of ""Double Indemnity"" has almost identical scenes and dialogue as the 1944 original. The main difference is that the remake just seems to have no energy at all. Fred MacMurray was great as the lecherous, leering insurance agent Walter Neff in the original; Richard Crenna just seems world-weary and tired. Edward G. Robinson brought great manic energy to his role as MacMurray's boss Barton Keys; Lee J. Cobb, a fine actor, appears almost bored with the proceedings. Samantha Eggar is all wrong as the conniving, back-stabbing Phyllis Dietrichson; while Barbara Stanwyck was just superb in this wicked role, Eggar is overly polite and mannered and just seems way out of place.<br /><br />Robert Webber, in the old Richard Gaines role as Robinson's boss Norton, and John Fiedler taking the Porter Hall role as the crucial witness, bring some life to the movie. In particular, Webber recreates the Norton role well in a 1970s context.<br /><br />However, after the movie starts, the whole thing just sort of lies there, without any life or electricity. This is one film that never should have been remade.",negative
"Well no, I tell a lie, this is in fact not the best movie of all time, but it is a really enjoyable movie that nobody I know has seen.<br /><br />It's a buddy cop movie starring Jay Leno and Pat Morita(Mr Miyagi) with some fluff story about a missing car engine prototype or something, but that doesn't matter. the reason this movie is fun is because of the interaction between the two leads, who initially dislike and distrust each other but in a shocking twist of fate end up becoming friends. The whole culture difference thing is done quite well,in that it's fun to watch, it's completely ridiculous but in a cheesy and enjoyable kind of way. The soundtrack is cool,once again in a cheesy 80's kind of way, it suits the movie, I've been trying to find one of the songs for ages, but as I'm working from memory of what I think a few of the words were i can't seem to find it.<br /><br />Another thing this movie has is the most fantastic pay off of any movie ever, but I won't give that one away, oh no! In conclusion I'd take this movie over 48 Hours\most of Eddie Murphys output including Beverly Hills cop, and whatever buddy junk Jackie Chan or Martin Lawrence have to their names. If you're looking for a buddy cop movie and are getting fed up with ""straight white cop meets zany streetwise black cop"" give this a shot. You might be pleasantly surprised cos this turns the whole formula upside down with ""straight Japanese cop meets zany streetwise white cop"".<br /><br />I'm giving this 7. to be honest I like it more than that. I'd rather watch this than a lot of stuff I'd give 8. But I guess I know deep down that it's some sort of insanity that makes me like this movie.",positive
"Paul Muni and Bette Davis overact monstrously while lacklustre studio hack Archie Mayo seems distracted and oblivious in this racially provocative film that derives its ""bittersweet ending"" by condoning segregationist attitudes. Heavy handed and poorly constructed the film collapses under its own weight within the first fifteen minutes with an out of control courtroom scene that it never recovers from as Mr. Muni begins to chew up scenery by the yard hollering and howling away in an almost incoherent fashion.<br /><br />Johnny Ramirez is a Mexican American from the other side of the tracks who through determination and grit attains a law degree from a store front night school. In his first big case involving an auto accident he displays only ineptitude and is quickly made to look the fool by his well heeled opponents and an impatient judge who recommends he be disbarred. Devastated by the setback an angry Johnny takes on a job at a gambling joint where he is befriended by the owner Charlie Roark (Eugene Palette) who likes his style. The owner cuts him in on the place but problems arise with Mrs. Roark (Davis) who also wants a piece of Johnny. She kills Charlie, implicates Johnny and slowly goes mad before he is acquitted and free to be with a high society Wasp who coldly explains to him that they are from ""different tribes, savage"" and it will never work. When she flees to escape his rage she is run over and killed by a car. Ramirez sells the casino and moves back to his poor neighborhood rationalizing that its best to stay with your own.<br /><br />In addition to this appalling denouement Bordertown has a series of bad performances to compliment the overall ugliness of the story. Unfair as his plight might be, Muni's Ramirez is so abrasive and arrogant it becomes hard to show sympathy for such a bull headed blunderer. Davis is no better as the less than loyal wife matching the same adolescent emotions of Muni. Her Lady Macbeth mad scenes give no indication that she was about to become the best film actress of her era. Margaret Lindsay as Muni's American Dream is cold, remote and flat.<br /><br />Bad as Bordertown is (and it is very) it remains an interesting indicator of the times and acceptable attitudes. The rest is just a mishmash of bad acting and uninspired direction.",negative
"The quote I used for my summary occurs about halfway through THE GOOD EARTH, as a captain of a Chinese revolutionary army (played by Philip Ahn) apologizes to a mob for not having time to shoot MORE of the looters among them, as his unit has just been called back to the front lines. Of course, the next looter about to be found out and shot is the main character of the film, the former kitchen slave girl O-Lan (for whose portrayal Luise Rainer, now 99-years-old, won her second consecutive best actress Oscar).<br /><br />The next scene finds O-Lan dutifully delivering her bag of looted jewels to her under-appreciative husband, farmer Wang Lung (Paul Muni), setting in motion that classic dichotomy of a man's upward financial mobility being the direct inverse of his moral decline.<br /><br />For a movie dealing with subject matter including slavery, false accusations, misogyny, starvation, home invasion, eating family pets, mental retardation, infanticide, exploited refugees, riots, civil war, summary mass street executions, bigamy, child-beating, adultery, incest, and insect plagues of biblical proportions, THE GOOD EARTH is a surprisingly heart-warming movie.<br /><br />My parting thought is in the form of another classic quote, from O-Lan herself (while putting the precious soup bone her son has just admitted stealing from an old woman back into the cooking pot after husband Wang Lung had angrily tossed it to the dirt floor on the other side of their hut): ""Meat is meat.""",positive
"I Think It's a great movie. because you get to see how Diana's life at home is. she got so much aggression, and she wants to prove that girls can fight too. I think she and Adrian were great actors. Because of this movie I Am Boxing too. It really impressed me. the only negative part I think. Is the end. because It's alright between Diana and Adrian. But you don't get to see how it is at home. And I Didn't really like it that you also don't get to see how her father is doing, and her brother. but i Think it was A great movie and I Think I'm going to watch it a lot more:) I recommend it to anyone, even when you don't like boxing, you get to see a lot more than only boxing. I had a great time watching it.",positive
This is one of the more unromantic movies I have ever seen.<br /><br />Casting: Richard Gere is just too old looking for romantic lead roles anymore. Diane looks a bit eager to please and frowning as usual but she seems unconvinced by the romance herself. Supporting cast not too memorable.<br /><br />Story: The medical drama he has to deal with is unconvincing and is not interesting. The story is weak - not enough happens to make a movie about. There is nothing new to say or no new way to say it here. <br /><br />The setting is a little bleak and the house it is set in is unattractive. <br /><br />NOT destined to be a great one to remember.,negative
"Watching this movie really surprised me. I have never found myself to stop watching a movie in its entirety because 3 dollars to rent a movie is a good amount of money and darn it, I should at least watch the whole thing and get my moneys worth. I made it through about 30 minutes of this absolutely crappy movie when I thought to myself, I am now a little more dumber after watching this movie. I can't believe that the director and actors in this movie actually had that low of respect for themselves to allow this to be released! <br /><br />There's nothing I can say that hasn't been said by the other reviewers, but even in the worst of films there are usually one or two decent performances...not in this piece of pathetic garbage. I've seen better acting in high school plays. Every, and I mean every 'actor' is bad beyond belief, and what's truly amazing is the uniformity of the badness...gosh, it must have been the director. Where did they get these people?<br /><br />This is possibly one of the worst horror movies I have ever seen. Although entertaining in places due to its laughable script and even weaker acting, and I use that term very loosely, it is unfortunate that this film was not consigned to B movie hell for all eternity. What could have been a good idea has been ruined by an ultra low budget, poor sound and effects and actors who probably earned their wings in children's television, and poor children's television at that. <br /><br />Please, STAY AWAY from this movie. Not even worth a minute of your time.",negative
"Iron Eagle may not be the most believable film plot-wise, but the characters are well written and very well acted. If you cannot believe the characters, the film is a flop.<br /><br />I believe the photography, especially the aerial photography is superb. I believe it is far superior to Top Gun to which it is endlessly compared. It is one of the best pieces of aerial photography I have seen. The soundtrack by Basil Paledouros (forgive the spelling)is great, and juxtaposes well with the rock tunes. I wish that portion of the soundtrack were available.<br /><br />Jason Gedrick does well as the teenager who suddenly has to grow up in a rush and and the realities of life, death, and responsibilities. Lou Gossett is fab as Chappy, both hard-bitten and yet human as he recalls pilot deaths.<br /><br />There are lots of movies out there that you watch once and don't care to watch again. Then there are those movies that get you for one aspect or another and you can watch it again and again! Iron Eagle is that kind of movie!",positive
"I do not know which one was first released earlier in 1970 . Cannon for Cordoba is an ""Europen Western"" It was made in Spain. This means this is fairly inferior to Sergio Leone's so-called #Western Spaghetti and to the Real American Masterpieces of John Ford, Sam Peckinpah, Howard Hugues,John Sturges and Anthony Mann, in my order of merit. This order is not to be interpreted as all John Ford Westerns are better than all by Sam Peckipahn's. I think IMDb's 100 Sort them out all pretty well.<br /><br />The worse about this firm is the Casting. George Peppard is fit for a sergeant's role, Raff Valone for a ""Maffia Capo"" and Giovanna Ralli to a ""puttana"" in ""Piazza Vennezia"" in the sixty's in Rome.",negative
"This is the type of film that may need to be viewed several times to capture all of its beauty and intelligence { just like Curse of Frankenstein from 1957} . If you don't like odd, non-mainstream films, steer clear of this masterpiece. For me, the artwork alone in this film is worth the purchase price of the videocassete. The storyline is a bit fantastic but seems to becoming reality in our world today. For being produced in the 1980s, this film is proving to be a prophetic vision of whats to come with Big government and Big brother wanting to control and monitor us.<br /><br />There are many slow sections and the dialog can be quite hard to catch in many scenes { thats why I've watched it 6 times now} but if you can digest it all, it may prove to be well worth your time.<br /><br />The film is basically about a world where people have evolved into robotic machines that have lost their individualism . They are only concerned about accumulating and procreating. The hero of the film has not succumb to this sickness and has not been "" tagged"" and monitored by big brother. His mission is to release a secret drug into the water supply which will change the way the human robots think and allow individulaism to once again be a part of humanity.<br /><br />Yes, its very low budget, but for its time the computer effects and sound effects are very unique and the paintings are utterly fascinating. If you have an open mind, this film should impress and its prophetic visions are chilling.",positive
"The movie was better than what i expected. I was working on the movie set for a short period of time when Damien was making this film.The gun fire, stunt and acting came out pretty good on the editing tip.All thou the the music wasn't all that great. Better music would have top this film.Some of the music sound like the hippie days. Damien remember you have gang violence gangster's some oldies or hip hop would have did it. It was more realistic than blood in blood out.The casting was picked real well.Suspectentertaint did a good job in this film.The movie brought back a fill of a life style i use to live. But than at the end you do not always win. And in my history thats how it was.I adapted to the movie the first time i watched it.Damien Congratulatoins on this film.",positive
"I don't see that much wrong with this movie. Granted, the principal singers might not be Luciano Pavarotti and Maria Callas, but they can certainly carry a tune. Burt Bacharach and Hal David are talented songwriters and I happen to love their songs, especially ""The World Is A Circle"", ""The Things That I Will Not Miss"", and ""Question Me An Answer"". Some people claim that Hermes Pan's choreography is ghastly and that the snowy mountain sets look as if they were made of plastic; I disagree on both counts. I've seen powdered snow before and the snow in those mountain scenes looked realistic to me. And most of all, in this film's defense, it is appropriate for a family audience (at least I remember it being that way when I saw it on Christmas Day a few years ago.) With all the outcry over sex and violence in the cinema these days, I find it refreshing to note that this film deserves its G-rating. And they don't say that naughty ""F"" word every ten minutes like some films I've seen. Thank God. So although this film may not be everyone's cup of tea, it does have some redeeming value and I give it ten points out of a possible ten. That's my story and I'm sticking to it.",positive
"If Andrei Tarkovsky had been a hack, he would have directed Mother and Son instead of Mirror. This is the single most pretentious film made anywhere in the world, I am convinced. A son, without a name, takes care of his mother, without a name. They love each other, I guess. No, they don't, I'm sure. These aren't characters. They aren't even actors playing characters. At least it could be pretty, but even the nature seems ridiculously touched up and changed wherever it was necessary with a Macintosh computer. And could Sokurov have come up with a technique as hackneyed as a distorted aspect ration? You would have to have been born yesterday to buy this garbage. 1/10.",negative
"The Sunshine Boys is a terrific comedy about two ex-vaudevillians who reluctantly reunite for a TV special despite the fact that they despise each other.<br /><br />The comic genius of two masters at work, George Burns and Walter Matthau are stellar! Some of the best scenes are when the duo is fighting over the silliest little trivial things! The material is fast-paced and witty, appealing to all ages.<br /><br />MILD SPOILER ALERT: There are some mildly sad moments toward the end of the movie that deal indirectly with the affects of aging that gives the film a soft, sincere, tenderness that shows to this reviewer that what the pair really need the most for success, are each other.<br /><br />If anyone loves The Odd Couple, you'll adore this movie. An excellent film!",positive
"I'd like to start off by saying that I am NOT an anime fan (with a few notable exceptions), and I generally have a low opinion of so-called otakus, as they are so in love with their particular brand of cartooning that they label every movie starring spiky-haired, big-eyed characters as a work of art without even considering other more vital factors, such as the plot. And no anime movie better represents this division between otakus and people with actual taste than this elegant piece of trash, Fatal Fury: the Motion Picture.<br /><br /> As seen through the glassy, witless eyes of an otaku, there's little to find fault with in Fatal Fury-- there's plenty of quirky Japanese-y humor, one-on-one duels, some ""dramatic"" moments, and everything is beautifully drawn. But everyone else will be turned off by the cliched, predictable plot with cliched, predictable characters, culminating in a cliched, predictable ending. The love scenes are hilariously overblown-- the scene in which Sulia ""heals"" Terry is obviously intended to be a tender moment, but it's virtually impossible to not be thrown into spirals of giddy laughter by the sheer ludicrousness of it. And of course, Fatal Fury is not without the obligatory cartoon T&A-- this is supplied gratuitously by the huge-breasted Mai Shiranui. And since Fatal Fury IS based off the video game series of the same name (oh boy), we're treated to numerous pointless cameo appearances by popular characters with little or no relevance to the plot whatsoever (they go through all the trouble of introducing Kim early on, only for him to disappear from the movie totally after that point). This mess of a movie reaches its climax with the unintentionally farcical final battle, in which all the main characters engage the all-powerful main villain in one-on-one combat in turn. That's some thing that's always amused me... even when battles in animes AREN'T taking place in a tournament, they always happen as if they were, regardless of the fact that it makes no sense whatsoever!<br /><br /> Otakus always rave about how anime movies should be treated as MOVIES as opposed to merely cartoons, and a disturbing portion of those same people love Fatal Fury. So would Fatal Fury have been good if it wasn't an anime? The answer is an emphatic ""no""-- all of this movie's charm, what little of it there is, resides in the actual drawings. Had Fatal Fury not been an anime, it would have been worthy of an episode of Mystery Science Theater 3000, if the show was still on the air. That's the key-- this is nothing more than a laughably bad B-movie in the guise of an anime epic. If you're a fan of movies so bad that they're actually entertaining, consider renting Fatal Fury (or catch it on the Sci-Fi channel), as it is definitely one of those. If you're an otaku, please WAKE UP and realize that a good 90% of the stuff you're watching is garbage. As for everyone else, buy a Dreamcast and Fatal Fury: Mark of the Wolves, but don't even consider seeing this movie.",negative
"Back when Alec Baldwin and Kim Basinger were a mercurial, hot-tempered, high-powered Hollywood couple they filmed this (nearly) scene-for-scene remake of the 1972 Steve McQueen-Ali MacGraw action-thriller about a fugitive twosome. It almost worked the first time because McQueen was such a vital presence on the screen--even stone silent and weary, you could sense his clock ticking, his cagey magnetism. Baldwin is not in Steve McQueen's league, but he has his charms and is probably a more versatile actor--if so, this is not a showcase for his attributes. Basinger does well and certainly looks good, but James Woods is artificially hammy in a silly mob-magnet role. A sub-plot involving another couple taken hostage by Baldwin's ex-partner was unbearable in the '72 film and plays even worse here. As for the action scenes, they're pretty old hat, which causes one to wonder: why even remake the original? ** from ****",negative
"I remember when I first saw this movie. I was babysitting for a friend of my mums, and one of the kids suggested we watch it. Thinking it was the frankly laughable 'Prince of Thieves' they were slipping into the video recorder, I was prepared for a few hours of boredom, What I got came as a shock, a pleasant one I'll admit, but still a shock.<br /><br />Now, you all know the Robin Hood legend don't you? I shall explain a little. Robin Hood was a Saxon criminal, nicking money here and there and giving it to people who needed it, all the while seducing the beautiful Maid Marion, and vexing the Sheriff of Nottingham and prince john. That's the basics! Now, on with the review.<br /><br />This movie was released in 1993, and is a take off of the whole Robin Hood legend and a p--- take of Prince of Thieves in particular.<br /><br />Loosely following the legend, Robin of Loxley is first encountered in an Arabic prison during the third century crusades, and together with a 'Moor' as they were called in those days, he executes a cunning escape with a cellmate, Asneeze.<br /><br />After escaping, Asneeze beseeches Robin to find his son Atchoo, a foreign exchange student in England and look out for him. This Robin vows to do! Robin swims back to England.<br /><br />He returns to his home, Loxley castle to find it being wheeled away on the back of the cart by Bailiffs, and goes through he sorrowful revelation that his father, dog, cat, and even the goldfish are all dead. Desperate for a familiar face, he finds the family's loyal blind servant Blinkin sitting on the toilet with a Jazz mag in Braille. The hilarity continues throughout the movie.<br /><br />As with all Robin Hood stories, Robin must thwart the evil plans of Prince John and the sheriff of Rottingham, who are wreaking havoc and charging exorbitant taxes on King Richards's kingdom while he's away.<br /><br />Those familiar with the movies Mel Brooks has previously directed will have some small idea of what to expect. After all, this is the man responsible for Dracula-dead and loving it and young Frankenstein. All the jokes, which range from visual gags to wonderful witty comments are in exactly the right places throughout the movie, with never more than a minute between laughs.<br /><br />Cary Elwes (incidentally the only English man to play Robin Hood in a movie), who many of you will know from Princess Bride brings his cheeky grinning twinkle eyed presence to this movie, and does a wonderful job. From outlandish heroic posturing, to a wickedly sexy glance, he really is amazingly funny. And the man looks better in tights than I do!<br /><br />Richard Lewis is hilarious as the whiny, arrogant Prince John with the ever-changing mole. He gets the sissy-boy behaviour down to a tee, and his whinging American vocalisations are great. All the way through the movie, a mole on his face constantly changes position: it starts on his left cheek, then over to his right cheek, then his chin, then his forehead, before going back to it's original place. This is a subtle joke based on the mole on Alan Rickman when he played the sheriff in Prince Of Thieves<br /><br />Roger Rees as the sleazy sheriff of Rottingham is marvellously slimy and nasty, and has some great lines throughout the film.<br /><br />There are some faces here you'll be familiar with from other Brooks films. For instance Robert Ridgely, playing the hangman in this film also played the hangman in Blazing Saddles, another film directed by Brooks. He likes to add subtle references to his earlier films too; with several in this film that die-hard Brooks fans will easily spot. Those who watched History of the World part 1 will recognise the music to the song 'Men in Tights'. Also, when Patrick Stewart arrives and snogs Marion, Mel himself (playing Rabbi Tuckman) utters the line 'it's good to be a king', one of his lines in History of the world.<br /><br />The whole cast is wonderfully comedic, even those with only a few lines bring a great depth of warmth and humour to them<br /><br />What makes this film so wonderfully warm and funny in my own opinion are all the improvised scenes. Although there was a script of sorts, some scenes were completely improvised by the actors themselves, such as the scene where Latrine (Tracey Ullman) prays for Rottingham in her bed, and he falls through the ceiling, landing right where she wanted him, which was totally devised and thought out by the two actors.<br /><br />There are few special effects, and those that are there are small but fun moments of computerised camera trickery.<br /><br />The soundtrack is memorable, with some very funny songs, and a couple of cheesy love songs. You'll be singing 'Men in tights' or at least humming it to yourself, for weeks.<br /><br />The rating is Pg, to which I say BAH HUMBUG. There is no bad language in the film, except in the use of double entendre, and one utterance of sh!t, and violence is minimal. In fact I'd go as far as to say non-existent, apart from a few comedy fight scenes.<br /><br />A great fun film that adults and children alike will enjoy!",positive
"After reading the reviews, it became obvious that everyone intellectualized this work. How utterly boring. Oh how about the good ol' days and there was nothing like it. Of all the comments no one expressed any emotion to this work or any other.<br /><br />I grew up just after the end of the steam age and this cinematic gem along with Dan'l Boone graced the Saturday afternoon matinées. This was an annual movie that made the rounds and filled the seats with gabbing, yapping, farting, giggling, snot monsters like myself or was-self. And it was a movie theatre filler at the time. Almost as big as the Wizard of Oz.<br /><br />IMDb insists that every critique contains something about the plot. Problem is was that it was rather a template. Here goes. Randolph Scott (cowboy/hero)gathers friends and goes defeats those evil people. Hooray! <br /><br />All of us kids figured out that plot before we plunked our quarter down to watch it. That was just about the plot line of every Scott, John Wayne, Roy Rogers film ever made. If you take the time to go back and review each and every movie - just don't ask for surprises.<br /><br />One must remember the context of the times. There was no or little TV. None for kids. There was school. There was the great outdoors. There were toy guns. No Cyber time. And the steam age had just collapsed. But movies such as this provided the entertainment and filled the imaginations of young whippersnappers. Even the girls got into it.<br /><br />This movie was the entertainment. And it is just as mindless as anything produced today. It had a purpose originally of being propaganda. But quickly came to be kids movies.<br /><br />Our fathers had experienced the real thing. And it wouldn't be until Sam Peckinpah a decade later who finally lavished the red splashes of imitation blood in realistic and copious quantities. Not until his directorship did anyone die slowly, with great pain and miserably. Until Peckinpah war and gun fights were a rather bloodless affair. Thanks Sam.<br /><br />To see a movie had little or no blood, the adults didn't mind. They wouldn't have tolerated it I think. No guts spraying the shattering plant life. So this movie had all of the glory and none of the gory. Gung Ho was suitable for kids then.<br /><br />You will see that I assigned a four to this rating. Why would I do that? Well. It is a terrible movie. No matter how I love it. I do love this movie because it brought back one of the happier moments of my childhood. But it is not all that good of a movie in quality terms. Basically Gung Ho transitted to become a romance novel for children.<br /><br />Should people watch it. Of course. I am not saying to stay away. Realistically however. The plot is simple. The characters shallow? they are shoals. You can love a bad movie.",negative
"No matter how much it hurts me to say this,the movie is not as good as it could have been.Maybe I was misled by the countless exaggerated reviews here on IMDb,but I expected so much more...<br /><br />Sure,the idea is a good one,the violent scenes and the camera-work are outstanding,the imagination of genius Dario is breathtaking, but the movie is ""soiled"" by a couple of mistakes that I find unforgivable. First of all, am I one of the few people who feel that the Heavy Metal music played in the most intense scenes simply rips the atmosphere apart??? With a different kind of music (Goblin????) during the ""needle"" scenes,it would have been SOOOO intense!... Instead,the soundtrack destroys any chance for tension... Secondly, the final killing scene and the last few moments of the movie are simply silly and uninspired. I don't want to say ""amateurish"", cause I love Argento's movies.The ending left me feeling empty.Talk about a final impression! This is hardly what happens in most of Dario's films! Though,admittedly,Suspiria also suffers from a rushed finale (even if most of it is brilliant)....<br /><br />In short,watch this movie,try to make the most of its good points,but be prepared for some bad ones as well. This is NOT a perfect movie by ANY means.",positive
"Apparently the film has a harsh anti-Bush message... If it does (I didn't get it), that's all it is. It's boring and useless, period.<br /><br />It's too serious at times to be a comedy, too slow to be a thriller, not funny, not gripping, not exciting, not film. It's too everything to be the opposite, and vise versa. I was amazed at how bad a film could suck. Don't even think of watching it.<br /><br />I have watched literally hundreds of films, and never have I been so obliged to write a warning on IMDb. Avoid at all costs. You have been warned.<br /><br />Even ""The Making of..."" is painfully boring. It's just people talking gibberish with loads of inside jokes infront of a camera, sort of like a home movie. There even is a part where a guy takes you on a tour of the food that was consumed on the set by the film crew. Still, beats the movie I guess...",negative
